transaction_id,store_type,category,customer_type,gender,payment_method,day_of_week,month,is_weekend,quantity,unit_price,discount_pct,discount_amount,subtotal,tax_amount,total_sales
TXN00093,Supermarket,Beverages,Member,Female,GCash,Friday,5,0,27,289.1,30,2341.71,5463.99,655.68,6119.67
TXN00094,Convenience,Snacks,Member,Male,E-Wallet,Sunday,9,1,35,229.87,25,2011.36,6034.09,724.09,6758.18
TXN00095,Supermarket,Snacks,Normal,Female,Cash,Wednesday,3,0,2,479.17,0,0.0,958.34,115.0,1073.34
TXN00096,Supermarket,Bakery,Member,Male,E-Wallet,Monday,6,0,39,338.95,20,2643.81,10575.24,1269.03,11844.27
TXN00097,Supermarket,Beverages,Normal,Male,GCash,Thursday,1,0,37,184.17,30,2044.29,4770.0,572.4,5342.4
TXN00098,Convenience,Canned,Normal,Female,Cash,Wednesday,10,0,21,106.91,0,0.0,2245.11,269.41,2514.52
TXN00099,Supermarket,Household,Member,Female,Credit Card,Saturday,5,1,5,429.15,5,107.29,2038.46,244.62,2283.08
TXN00100,Supermarket,Household,Member,Male,Credit Card,Saturday,8,1,45,212.98,10,958.41,8625.69,1035.08,9660.77
TXN00101,Convenience,Snacks,Member,Female,Credit Card,Saturday,5,1,21,347.21,0,0.0,7291.41,874.97,8166.38
TXN00102,Convenience,Beverages,Normal,Female,GCash,Sunday,9,1,29,261.87,0,0.0,7594.23,911.31,8505.54
TXN00103,Convenience,Beverages,Member,Male,E-Wallet,Friday,11,0,20,139.52,0,0.0,2790.4,334.85,3125.25
TXN00104,Supermarket,Canned,Normal,Male,Cash,Wednesday,6,0,38,320.76,0,0.0,12188.88,1462.67,13651.55
TXN00105,Convenience,Bakery,Member,Male,Credit Card,Thursday,8,0,20,77.31,5,77.31,1468.89,176.27,1645.16
TXN00106,Convenience,Personal,Member,Female,Cash,Wednesday,10,0,50,236.0,0,0.0,11800.0,1416.0,13216.0
TXN00107,Supermarket,Household,Normal,Female,GCash,Friday,8,0,25,295.98,20,1479.9,5919.6,710.35,6629.95
TXN00108,Convenience,Bakery,Normal,Female,Credit Card,Monday,3,0,2,246.22,15,73.87,418.57,50.23,468.8
TXN00109,Supermarket,Staples,Normal,Female,GCash,Friday,7,0,32,386.9,0,0.0,12380.8,1485.7,13866.5
TXN00110,Hypermarket,Household,Normal,Male,E-Wallet,Saturday,7,1,26,422.57,10,1098.68,9888.14,1186.58,11074.72
TXN00111,Convenience,Bakery,Normal,Female,GCash,Sunday,10,1,6,397.06,10,238.24,2144.12,257.29,2401.41
TXN00112,Hypermarket,Household,Normal,Male,GCash,Monday,12,0,41,67.47,30,829.88,1936.39,232.37,2168.76
TXN00113,Supermarket,Personal,Normal,Female,E-Wallet,Sunday,6,1,3,137.36,0,0.0,412.08,49.45,461.53
TXN00114,Convenience,Staples,Normal,Male,Cash,Saturday,12,1,33,291.47,0,0.0,9618.51,1154.22,10772.73
TXN00115,Supermarket,Personal,Member,Male,E-Wallet,Tuesday,7,0,1,470.67,25,117.67,353.0,42.36,395.36
TXN00116,Hypermarket,Canned,Normal,Male,E-Wallet,Friday,2,0,5,425.73,25,532.16,1596.49,191.58,1788.07
TXN00117,Supermarket,Staples,Normal,Female,GCash,Friday,9,0,13,429.14,15,836.82,4742.0,569.04,5311.04
TXN00118,Convenience,Snacks,Member,Male,Cash,Thursday,10,0,19,186.44,15,531.35,3011.01,361.32,3372.33
TXN00119,Convenience,Bakery,Normal,Male,Credit Card,Wednesday,10,0,12,243.25,0,0.0,2919.0,350.28,3269.28
TXN00120,Hypermarket,Staples,Member,Female,E-Wallet,Monday,1,0,48,261.82,10,1256.74,11310.62,1357.27,12667.89
TXN00121,Supermarket,Canned,Member,Male,Cash,Sunday,1,1,25,120.82,0,0.0,3020.5,362.46,3382.96
TXN00122,Convenience,Canned,Normal,Female,E-Wallet,Monday,3,0,35,63.98,0,0.0,2239.3,268.72,2508.02
TXN00123,Hypermarket,Personal,Member,Female,E-Wallet,Thursday,3,0,12,476.11,20,1142.66,4570.66,548.48,5119.14
TXN00124,Convenience,Household,Normal,Male,E-Wallet,Thursday,1,0,30,158.32,0,0.0,4749.6,569.95,5319.55
TXN00125,Convenience,Staples,Member,Male,E-Wallet,Sunday,12,1,5,157.98,5,39.49,750.4,90.05,840.45
TXN00126,Supermarket,Bakery,Member,Female,GCash,Wednesday,7,0,34,87.52,25,743.92,2231.76,267.81,2499.57
TXN00127,Convenience,Staples,Member,Male,Cash,Sunday,4,1,22,467.83,0,0.0,10292.26,1235.07,11527.33
TXN00128,Supermarket,Beverages,Normal,Female,Cash,Sunday,10,1,39,310.88,30,3637.3,8487.02,1018.44,9505.46
TXN00129,Convenience,Household,Normal,Female,Cash,Saturday,2,1,13,350.17,30,1365.66,3186.55,382.39,3568.94
TXN00130,Hypermarket,Bakery,Member,Female,E-Wallet,Wednesday,10,0,47,460.21,10,2162.99,19466.88,2336.03,21802.91
TXN00131,Convenience,Bakery,Member,Male,GCash,Friday,5,0,3,205.53,0,0.0,616.59,73.99,690.58
TXN00132,Supermarket,Snacks,Normal,Female,E-Wallet,Saturday,6,1,20,329.68,5,329.68,6263.92,751.67,7015.59
TXN00133,Supermarket,Personal,Normal,Male,E-Wallet,Tuesday,9,0,31,67.46,5,104.56,1986.7,238.4,2225.1
TXN00134,Hypermarket,Snacks,Member,Male,Cash,Wednesday,4,0,5,134.05,5,33.51,636.74,76.41,713.15
TXN00135,Convenience,Bakery,Member,Male,E-Wallet,Thursday,2,0,24,424.06,0,0.0,10177.44,1221.29,11398.73
TXN00136,Convenience,Household,Normal,Male,Credit Card,Saturday,5,1,40,395.05,30,4740.6,11061.4,1327.37,12388.77
TXN00137,Hypermarket,Staples,Normal,Female,E-Wallet,Wednesday,3,0,33,207.79,0,0.0,6857.07,822.85,7679.92
TXN00138,Convenience,Staples,Normal,Male,Credit Card,Monday,2,0,8,219.56,15,263.47,1493.01,179.16,1672.17
TXN00139,Convenience,Household,Normal,Female,E-Wallet,Sunday,12,1,24,290.1,0,0.0,6962.4,835.49,7797.89
TXN00140,Supermarket,Bakery,Normal,Female,GCash,Tuesday,1,0,50,50.11,10,250.55,2254.95,270.59,2525.54
TXN00141,Convenience,Canned,Member,Male,GCash,Friday,10,0,20,158.56,25,792.8,2378.4,285.41,2663.81
TXN00142,Convenience,Staples,Normal,Female,Cash,Sunday,2,1,16,143.7,0,0.0,2299.2,275.9,2575.1
TXN00143,Hypermarket,Canned,Member,Female,E-Wallet,Monday,6,0,50,162.72,0,0.0,8136.0,976.32,9112.32
TXN00144,Hypermarket,Staples,Normal,Male,Credit Card,Monday,8,0,12,412.66,10,495.19,4456.73,534.81,4991.54
TXN00145,Supermarket,Staples,Member,Female,Credit Card,Tuesday,3,0,13,175.85,15,342.91,1943.14,233.18,2176.32
TXN00146,Convenience,Personal,Normal,Female,E-Wallet,Friday,11,0,45,136.18,10,612.81,5515.29,661.83,6177.12
TXN00147,Convenience,Personal,Normal,Female,Credit Card,Thursday,9,0,42,276.92,5,581.53,11049.11,1325.89,12375.0
TXN00148,Convenience,Beverages,Member,Female,GCash,Saturday,12,1,39,439.54,0,0.0,17142.06,2057.05,19199.11
TXN00149,Supermarket,Snacks,Member,Male,Credit Card,Friday,9,0,25,158.61,30,1189.58,2775.68,333.08,3108.76
TXN00150,Supermarket,Household,Normal,Female,Cash,Wednesday,2,0,46,85.34,25,981.41,2944.23,353.31,3297.54
TXN00151,Hypermarket,Household,Normal,Female,GCash,Monday,8,0,32,210.38,5,336.61,6395.55,767.47,7163.02
TXN00152,Supermarket,Household,Normal,Female,GCash,Wednesday,10,0,24,386.44,20,1854.91,7419.65,890.36,8310.01
TXN00153,Convenience,Beverages,Normal,Female,GCash,Thursday,11,0,48,297.81,5,714.74,13580.14,1629.62,15209.76
TXN00154,Convenience,Personal,Normal,Male,E-Wallet,Wednesday,12,0,47,417.56,5,981.27,18644.05,2237.29,20881.34
TXN00155,Supermarket,Bakery,Member,Female,E-Wallet,Friday,5,0,44,481.82,0,0.0,21200.08,2544.01,23744.09
TXN00156,Convenience,Canned,Member,Male,GCash,Wednesday,4,0,9,406.7,5,183.02,3477.28,417.27,3894.55
TXN00157,Convenience,Canned,Normal,Female,E-Wallet,Thursday,10,0,40,321.71,10,1286.84,11581.56,1389.79,12971.35
TXN00158,Supermarket,Bakery,Member,Male,Credit Card,Thursday,5,0,50,272.0,0,0.0,13600.0,1632.0,15232.0
TXN00159,Supermarket,Beverages,Member,Male,E-Wallet,Thursday,4,0,23,68.03,5,78.23,1486.46,178.38,1664.84
TXN00160,Convenience,Bakery,Member,Male,E-Wallet,Friday,8,0,50,492.94,15,3697.05,20949.95,2513.99,23463.94
TXN00161,Convenience,Household,Normal,Male,GCash,Thursday,4,0,13,222.57,10,289.34,2604.07,312.49,2916.56
TXN00162,Convenience,Snacks,Member,Male,Cash,Monday,10,0,32,118.5,10,379.2,3412.8,409.54,3822.34
TXN00163,Hypermarket,Staples,Normal,Female,Cash,Sunday,12,1,50,350.02,25,4375.25,13125.75,1575.09,14700.84
TXN00164,Hypermarket,Canned,Member,Female,Cash,Thursday,6,0,15,177.93,0,0.0,2668.95,320.27,2989.22
TXN00165,Hypermarket,Personal,Normal,Female,Credit Card,Wednesday,2,0,36,313.6,10,1128.96,10160.64,1219.28,11379.92
TXN00166,Supermarket,Personal,Member,Male,E-Wallet,Saturday,5,1,49,314.05,15,2308.27,13080.18,1569.62,14649.8
TXN00167,Hypermarket,Beverages,Normal,Female,Cash,Wednesday,6,0,5,250.58,10,125.29,1127.61,135.31,1262.92
TXN00168,Supermarket,Personal,Normal,Male,GCash,Saturday,5,1,22,426.25,5,468.88,8908.62,1069.03,9977.65
TXN00169,Supermarket,Household,Member,Male,Cash,Wednesday,12,0,16,169.24,0,0.0,2707.84,324.94,3032.78
TXN00170,Hypermarket,Canned,Normal,Female,Cash,Friday,2,0,41,251.88,20,2065.42,8261.66,991.4,9253.06
TXN00171,Hypermarket,Bakery,Normal,Female,E-Wallet,Wednesday,7,0,10,291.96,5,145.98,2773.62,332.83,3106.45
TXN00172,Hypermarket,Household,Normal,Male,E-Wallet,Friday,4,0,24,348.63,20,1673.42,6693.7,803.24,7496.94
TXN00173,Convenience,Beverages,Normal,Male,E-Wallet,Friday,8,0,18,402.79,10,725.02,6525.2,783.02,7308.22
TXN00174,Hypermarket,Household,Normal,Female,Credit Card,Thursday,7,0,49,227.66,10,1115.53,10039.81,1204.78,11244.59
TXN00175,Convenience,Bakery,Normal,Female,Credit Card,Monday,7,0,18,340.72,20,1226.59,4906.37,588.76,5495.13
TXN00176,Supermarket,Snacks,Normal,Female,Cash,Saturday,9,1,7,117.77,10,82.44,741.95,89.03,830.98
TXN00177,Convenience,Beverages,Normal,Female,E-Wallet,Thursday,1,0,4,469.69,5,93.94,1784.82,214.18,1999.0
TXN00178,Hypermarket,Snacks,Member,Male,Cash,Thursday,10,0,26,222.38,10,578.19,5203.69,624.44,5828.13
TXN00179,Supermarket,Staples,Member,Female,GCash,Sunday,6,1,5,378.28,20,378.28,1513.12,181.57,1694.69
TXN00180,Supermarket,Snacks,Normal,Female,GCash,Friday,6,0,16,59.15,5,47.32,899.08,107.89,1006.97
TXN00181,Supermarket,Staples,Normal,Female,E-Wallet,Friday,6,0,35,142.33,5,249.08,4732.47,567.9,5300.37
TXN00182,Convenience,Staples,Member,Male,E-Wallet,Saturday,12,1,26,269.19,0,0.0,6998.94,839.87,7838.81
TXN00183,Hypermarket,Snacks,Member,Male,GCash,Wednesday,6,0,18,445.21,25,2003.44,6010.34,721.24,6731.58
TXN00184,Supermarket,Beverages,Member,Male,E-Wallet,Wednesday,12,0,29,287.26,0,0.0,8330.54,999.66,9330.2
TXN00185,Supermarket,Bakery,Normal,Male,Credit Card,Thursday,10,0,23,468.44,10,1077.41,9696.71,1163.61,10860.32
TXN00186,Supermarket,Household,Member,Female,Credit Card,Tuesday,7,0,14,267.71,5,187.4,3560.54,427.26,3987.8
TXN00187,Convenience,Household,Normal,Male,E-Wallet,Tuesday,10,0,15,270.7,5,203.02,3857.48,462.9,4320.38
TXN00188,Convenience,Bakery,Normal,Female,GCash,Wednesday,6,0,49,103.89,10,509.06,4581.55,549.79,5131.34
TXN00189,Hypermarket,Canned,Member,Female,Cash,Tuesday,1,0,33,411.2,0,0.0,13569.6,1628.35,15197.95
TXN00190,Convenience,Canned,Normal,Female,E-Wallet,Sunday,3,1,25,161.13,10,402.82,3625.42,435.05,4060.47
TXN00191,Supermarket,Staples,Normal,Female,E-Wallet,Wednesday,2,0,21,454.83,15,1432.71,8118.72,974.25,9092.97
TXN00192,Hypermarket,Staples,Normal,Male,Cash,Friday,6,0,17,459.87,20,1563.56,6254.23,750.51,7004.74
TXN00193,Supermarket,Beverages,Normal,Male,E-Wallet,Thursday,8,0,23,474.49,0,0.0,10913.27,1309.59,12222.86
TXN00194,Supermarket,Personal,Member,Male,Cash,Monday,3,0,43,284.1,20,2443.26,9773.04,1172.76,10945.8
TXN00195,Convenience,Snacks,Member,Female,GCash,Thursday,10,0,17,354.69,10,602.97,5426.76,651.21,6077.97
TXN00196,Hypermarket,Staples,Normal,Female,Credit Card,Wednesday,8,0,14,400.33,20,1120.92,4483.7,538.04,5021.74
TXN00197,Convenience,Household,Normal,Female,GCash,Sunday,8,1,29,108.96,5,157.99,3001.85,360.22,3362.07
TXN00198,Convenience,Beverages,Member,Female,Credit Card,Wednesday,5,0,20,320.43,10,640.86,5767.74,692.13,6459.87
TXN00199,Hypermarket,Snacks,Normal,Female,Cash,Thursday,8,0,30,65.43,25,490.72,1472.18,176.66,1648.84
TXN00200,Supermarket,Beverages,Member,Male,Credit Card,Sunday,6,1,19,273.9,20,1040.82,4163.28,499.59,4662.87
TXN00201,Supermarket,Snacks,Normal,Female,GCash,Sunday,5,1,39,119.68,5,233.38,4434.14,532.1,4966.24
TXN00202,Hypermarket,Snacks,Normal,Male,Credit Card,Sunday,9,1,13,132.32,0,0.0,1720.16,206.42,1926.58
TXN00203,Supermarket,Bakery,Member,Female,Cash,Saturday,7,1,18,214.27,5,192.84,3664.02,439.68,4103.7
TXN00204,Hypermarket,Staples,Member,Female,Credit Card,Wednesday,8,0,23,244.6,5,281.29,5344.51,641.34,5985.85
TXN00205,Hypermarket,Beverages,Member,Male,E-Wallet,Tuesday,1,0,46,330.43,0,0.0,15199.78,1823.97,17023.75
TXN00206,Convenience,Beverages,Member,Male,GCash,Tuesday,11,0,33,83.49,0,0.0,2755.17,330.62,3085.79
TXN00207,Hypermarket,Bakery,Normal,Female,E-Wallet,Wednesday,2,0,39,276.66,20,2157.95,8631.79,1035.81,9667.6
TXN00208,Convenience,Household,Member,Female,Cash,Wednesday,8,0,40,132.18,0,0.0,5287.2,634.46,5921.66
TXN00209,Supermarket,Household,Normal,Female,Credit Card,Saturday,12,1,18,308.29,10,554.92,4994.3,599.32,5593.62
TXN00210,Supermarket,Canned,Member,Female,E-Wallet,Tuesday,9,0,9,336.83,0,0.0,3031.47,363.78,3395.25
TXN00211,Supermarket,Staples,Member,Male,E-Wallet,Wednesday,4,0,33,300.52,5,495.86,9421.3,1130.56,10551.86
TXN00212,Supermarket,Staples,Normal,Female,Credit Card,Wednesday,12,0,32,382.23,0,0.0,12231.36,1467.76,13699.12
TXN00213,Convenience,Personal,Member,Male,Credit Card,Saturday,10,1,17,201.02,0,0.0,3417.34,410.08,3827.42
TXN00214,Supermarket,Bakery,Member,Female,GCash,Saturday,11,1,19,394.3,15,1123.76,6367.94,764.15,7132.09
TXN00215,Hypermarket,Household,Member,Male,E-Wallet,Thursday,10,0,27,244.75,20,1321.65,5286.6,634.39,5920.99
TXN00216,Hypermarket,Snacks,Member,Male,E-Wallet,Saturday,9,1,6,267.88,0,0.0,1607.28,192.87,1800.15
TXN00217,Hypermarket,Beverages,Normal,Female,Cash,Monday,4,0,35,341.65,5,597.89,11359.86,1363.18,12723.04
TXN00218,Convenience,Staples,Normal,Male,GCash,Tuesday,10,0,37,58.26,5,107.78,2047.84,245.74,2293.58
